image,tile_x,tile_y,hue,saturation,value
2.jpg,0,2,23,85,41
2.jpg,1,2,23,126,104
2.jpg,2,2,21,61,120
2.jpg,3,2,26,248,184
2.jpg,4,2,26,249,183
2.jpg,0,3,23,96,42
2.jpg,1,3,24,108,64
2.jpg,2,3,43,221,149
2.jpg,3,3,44,222,142
2.jpg,4,3,26,244,177
2.jpg,0,4,26,248,193
2.jpg,1,4,26,244,192
2.jpg,2,4,23,161,114
2.jpg,3,4,25,109,119
2.jpg,4,4,42,220,141
20.jpg,0,0,104,245,176
20.jpg,1,0,104,252,189
20.jpg,2,0,105,254,187
20.jpg,3,0,105,251,178
20.jpg,4,0,105,253,183
20.jpg,0,1,40,194,66
20.jpg,1,1,23,137,124
20.jpg,2,1,40,216,164
20.jpg,3,1,41,193,66
20.jpg,4,1,105,247,150
20.jpg,0,2,23,98,52
20.jpg,1,2,24,127,141
20.jpg,2,2,28,108,150
20.jpg,3,2,43,141,66
20.jpg,4,2,105,239,151
20.jpg,0,3,24,60,45
20.jpg,1,3,23,60,44
20.jpg,2,3,43,200,157
20.jpg,3,3,38,221,148
20.jpg,4,3,105,237,149
20.jpg,0,4,26,235,204
20.jpg,1,4,25,231,197
20.jpg,2,4,26,233,201
20.jpg,3,4,26,249,200
20.jpg,4,4,26,240,198
21.jpg,0,0,22,165,129
21.jpg,1,0,42,220,163
21.jpg,2,0,23,149,124
21.jpg,3,0,26,245,204
21.jpg,4,0,43,173,66
21.jpg,0,1,25,118,137
21.jpg,1,1,43,215,164
21.jpg,2,1,26,68,144
21.jpg,3,1,26,229,205
21.jpg,4,1,43,171,64
21.jpg,0,2,23,147,120
21.jpg,1,2,43,230,144
21.jpg,2,2,39,85,53
21.jpg,3,2,26,239,206
21.jpg,4,2,35,169,73
21.jpg,0,3,23,132,119
21.jpg,1,3,39,210,140
21.jpg,2,3,106,237,159
21.jpg,3,3,104,242,180
21.jpg,4,3,43,184,69
21.jpg,0,4,26,235,200
21.jpg,1,4,38,198,149
21.jpg,2,4,105,241,191
21.jpg,3,4,105,242,195
21.jpg,4,4,104,241,196
22.jpg,0,0,42,234,138
22.jpg,1,0,36,197,52
22.jpg,2,0,26,254,187
22.jpg,3,0,26,254,184
22.jpg,4,0,106,253,133
22.jpg,0,1,20,201,150
22.jpg,1,1,43,203,51
22.jpg,2,1,38,193,59
22.jpg,3,1,26,251,190
22.jpg,4,1,26,250,182
22.jpg,0,2,21,198,154
22.jpg,1,2,41,194,54
22.jpg,2,2,40,116,61
22.jpg,3,2,26,247,165
22.jpg,4,2,26,241,193
22.jpg,0,3,44,196,63
22.jpg,1,3,37,193,65
22.jpg,2,3,46,191,56
22.jpg,3,3,41,193,57
22.jpg,4,3,38,160,64
22.jpg,0,4,105,254,184
22.jpg,1,4,105,254,181
22.jpg,2,4,46,188,61
22.jpg,3,4,40,173,61
22.jpg,4,4,44,172,60
